JobTitle,ExperienceRequired,Location,CompanyName,JobDescriptionPage,Keyskill,JobDescription,Salary
Senior Analyst  -  Data Analytics,4-6 yrs,Gurgaon,Sun Life India Service Centre Pvt. Ltd.,https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-6-years-250918900949?src=jobsearchDesk&sid=15383328622468&xp=1&px=1,"SAS, Coding, Data mining, Business intelligence, Analytical...",Must be able to effectively communicate complex results to a business audience not familiar with complex ...,  Not disclosed 
Data Analytics Consultant: Virtual,0-3 yrs,"Delhi NCR, Jaipur, Jodhpur",Not Mentioned,https://www.naukri.com/job-listings-Data-Analytics-Consultant-Virtual-Not-Mentioned-Delhi-NCR-Jaipur-Jodhpur-0-to-3-years-240918008671?src=jobsearchDesk&sid=15383328622468&xp=2&px=1,"Logistic Regression, Statistical Modeling, SAS SQL, Time Series, Excel...",Candidates may have the opportunity to work out of their home so this job may be ideal for someone who ...,"    1,50,000 - 3,50,000 P.A. Salary commensurate with exper...  "
Consultant - Data Analytics - Machine Learning,3-4 yrs,"Bengaluru, Delhi NCR",Protiviti,https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Bengaluru-Delhi-NCR-3-to-4-years-260918900098?src=jobsearchDesk&sid=15383328622468&xp=3&px=1,"SQL, Business Intelligence, Data Analytics, R, Data Warehousing...","- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",  Not disclosed 
Big Data Analytics Role - Insurance Domain - BFS,6-10 yrs,Gurgaon,Nacre Outsourcing,https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-240918900537?src=jobsearchDesk&sid=15383328622468&xp=4&px=1,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",- Should be able to understand business needs and apply analytical concepts to generate actionable ...,  Not disclosed 
Leader - Data Analytics,7-8 yrs,Gurgaon,Ameriprise,https://www.naukri.com/job-listings-Leader-Data-Analytics-Ameriprise-Gurgaon-7-to-8-years-270918900653?src=jobsearchDesk&sid=15383328622468&xp=5&px=1,"Leader - Data Analytics, Analyst",&bull; Experience of minimum 3 years in SAS is mandate;&bull; Experience of minimum 3 years in ...,  Not disclosed 
Data Analytics - R/ R-studio/ Python Programmer for Noida,1-6 yrs,Noida,ANRI SOLUTIONS HR SERVICES PVT LTD,https://www.naukri.com/job-listings-Data-Analytics-R-R-studio-Python-Programmer-for-Noida-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Noida-1-to-6-years-211217000404?src=jobsearchDesk&sid=15383328622468&xp=6&px=1,"Data Analytics, R, Statistical Modelling, Predictive modelling, Python...","Demonstrable previous experience (project, studies or certifications) in one or more following areas: ...",  Not disclosed 
Senior Data Analytics,4-8 yrs,Gurgaon(Sector-24 Gurgaon),CLARITY CONSULTING,https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-Sector-24-Gurgaon-4-to-8-years-080918000358?src=jobsearchDesk&sid=15383328622468&xp=7&px=1,"Tableau, R, Data Analytics, SAS, VBA","Must Have experience : SAS,SSIS,VBA TOOLS,Tableau,R,Python, ...","    7,00,000 - 13,00,000 P.A.  "
"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team",0-5 yrs,"Delhi NCR, Gurgaon, Noida",SLA Consultants India,https://www.naukri.com/job-listings-Data-Analyst-Data-Science-Excel-sql-sas-python-R-Analytics-Team-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-270918000257?src=jobsearchDesk&sid=15383328622468&xp=8&px=1,"data analyst, reporting analyst, sas, statistics, sas programmer...","Manage end to end analytics projects including business requirement analysis, define scope, solution ...","    2,00,000 - 4,25,000 P.A.  "
Senior Analyst - Data Analytics (tableau & SAS Visual Analytics),4-7 yrs,Gurgaon,Sun Life India Service Centre Pvt. Ltd.,https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-tableau-SAS-Visual-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-7-years-210918008881?src=jobsearchDesk&sid=15383328622468&xp=9&px=1,"Data Mining, SAS Enterprise Guide, Data Analytics, Business Intelligence...",Should be capable to deliver training modules to both L1 & L2 type of audiences. ;Should have a good ...,"    5,50,000 - 8,50,000 P.A.  "
"Python Developer-big Data Analytics, Taazaa Inc., Sector 63, Noida",3-5 yrs,"Delhi, Noida",Taazaa Inc.,https://www.naukri.com/job-listings-Python-Developer-big-Data-Analytics-Taazaa-Inc-Sector-63-Noida-Taazaa-Inc-Delhi-Noida-3-to-5-years-190918008688?src=jobsearchDesk&sid=15383328622468&xp=10&px=1,"Python Developer, Big Data, Analytics, Hadoop, SQL, Excel, R, JSON, SPSS...","- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",  Not disclosed 
